"Family","N","DBH","WD","Vessel_N","Dmedian","D","Dh","VD","VA","Kp"
"Apocynaceae",1,"52","0.38","116","177 [ 12 - 494 ]","194","280","1.8","8","277.54"
"Bignoniaceae",2,"17 ± 2.8","0.54 ± 0.01","46 ± 6","65 [ 11 - 292 ]","83 ± 23","131 ± 32","10 ± 0.7","8.8 ± 5","88.2 ± 78.5"
"Convolvulaceae",3,"44.7 ± 6.4","0.49 ± 0.07","47 ± 4","248 [ 30 - 394 ]","227 ± 57","260 ± 47","5.1 ± 2.4","20.9 ± 3.6","529.78 ± 195.58"
"Dilleniaceae",2,"17 ± 7.1","0.47 ± 0","48 ± 30","134 [ 14 - 296 ]","127 ± 16","160 ± 2","11.4 ± 2.9","17.7 ± 2.5","185.07 ± 57.11"
"Fabaceae",1,"30","0.61","50","158 [ 36 - 393 ]","164","206","7.7","19.1","342.57"
"Gnetaceae",1,"53","0.33","55","252 [ 50 - 379 ]","218","267","2.8","12.7","350.19"
"Malpighiaceae",1,"29.5","0.34","50","200 [ 80 - 272 ]","189","207","11","33.2","495.55"
"Menispermaceae",1,"95","0.57","50","116 [ 62 - 245 ]","125","151","11.4","16","144.15"
"Rubiaceae",3,"33.7 ± 4.2","0.58 ± 0","47 ± 3","101 [ 9 - 296 ]","101 ± 20","123 ± 34","23.1 ± 6.6","23.6 ± 14.5","198.15 ± 223.91"
"Sapindaceae",2,"27 ± 1.4","0.58 ± 0","80 ± 39","110 [ 4 - 344 ]","112 ± 122","163 ± 92","48 ± 58.4","20.4 ± 4","326.54 ± 169.52"
"Unknown",5,"28.4 ± 8","0.45 ± 0.12","45 ± 17","50 [ 6 - 355 ]","121 ± 90","158 ± 89","34.3 ± 33.6","21.3 ± 9.2","307.49 ± 415.59"
